                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0027,                0.75381,                 1.3168,                0.97941,                      1,                  0.995,                0.79753,                0.88026,                0.68238,                 1.0929,                0.03364,              0.0046399,              0.0046399
                     36,                0.65374,                0.45847,                  1.062,                0.97941,                      1,                  0.995,                0.79753,                0.88026,                0.68238,                 1.0929,               0.031698,              0.0046983,              0.0046983
                     37,                0.44294,                 1.4506,                0.63385,                0.96886,                      1,                  0.995,                0.79645,                0.98183,                0.58307,                  1.189,               0.029753,              0.0047528,              0.0047528
                     38,                0.85087,                0.61068,                 1.1671,                0.98027,                      1,                  0.995,                0.79659,                0.85321,                0.62623,                  1.154,               0.027803,              0.0048033,              0.0048033
                     39,                 1.1266,                 3.1555,                 1.2806,                0.98027,                      1,                  0.995,                0.79659,                0.85321,                0.62623,                  1.154,                0.02585,              0.0048498,              0.0048498
                     40,                0.75458,                0.85065,                 1.0677,                0.97976,                      1,                  0.995,                 0.7965,                 0.9228,                0.57395,                 1.2042,               0.023892,              0.0048924,              0.0048924
                     41,                0.85301,                0.57042,                 1.0764,                0.93543,                      1,                  0.995,                0.79585,                0.91394,                 0.6523,                 1.1274,               0.021931,               0.004931,               0.004931
                     42,                 0.6048,                0.44799,                 1.0629,                0.93543,                      1,                  0.995,                0.79585,                0.91394,                 0.6523,                 1.1274,               0.019966,              0.0049657,              0.0049657
                     43,                0.76803,                0.62939,                   1.11,                0.96766,                      1,                  0.995,                0.77093,                 0.9857,                0.63296,                 1.1846,               0.017996,              0.0049964,              0.0049964
                     44,                0.78008,                0.91899,                 1.1832,                0.96766,                      1,                  0.995,                0.77093,                 0.9857,                0.63296,                 1.1846,               0.016023,              0.0050232,              0.0050232
                     45,                 1.2761,                 1.0376,                 1.6697,                0.86461,                      1,                  0.995,                0.74611,                 1.1621,                 0.7248,                 1.3848,               0.014046,               0.005046,               0.005046
                     46,                0.80747,                0.56713,                 1.1264,                0.86461,                      1,                  0.995,                0.74611,                 1.1621,                 0.7248,                 1.3848,               0.012065,              0.0050648,              0.0050648
                     47,                 0.7297,                0.54413,                 1.0014,                 0.7604,                      1,                  0.995,                0.42309,                 1.5499,                 1.6654,                   1.66,                0.01008,              0.0050797,              0.0050797
                     48,                0.58026,                0.47268,                 1.1455,                 0.7604,                      1,                  0.995,                0.42309,                 1.5499,                 1.6654,                   1.66,              0.0080906,              0.0050906,              0.0050906
                     49,                0.71861,                0.51039,                 1.0421,                0.63149,                    0.5,                0.66197,                0.19899,                 2.5996,                 1.7609,                 2.6012,              0.0060975,              0.0050975,              0.0050975
                     50,                0.69827,                0.61709,                 1.1538,                0.63149,                    0.5,                0.66197,                0.19899,                 2.5996,                 1.7609,                 2.6012,                0.00505,                0.00505,                0.00505
                     51,                0.55387,                0.55422,                 1.0149,                0.91803,                 0.7434,                0.80056,                0.45892,                 1.7091,                 0.9759,                  1.709,                0.00505,                0.00505,                0.00505
                     52,                0.91299,                0.55854,                 1.1137,                0.91803,                 0.7434,                0.80056,                0.45892,                 1.7091,                 0.9759,                  1.709,               0.004951,               0.004951,               0.004951
                     53,                0.97055,                0.65629,                 1.1288,                0.79093,                   0.75,                0.66553,                0.39172,                 1.8414,                 1.3881,                 1.8773,               0.004852,               0.004852,               0.004852
                     54,                0.85524,                0.92192,                 1.2138,                0.79093,                   0.75,                0.66553,                0.39172,                 1.8414,                 1.3881,                 1.8773,               0.004753,               0.004753,               0.004753
                     55,                 0.7515,                0.62693,                 1.0667,                0.91285,                0.77237,                  0.995,                0.47847,                 1.7896,                 1.0181,                 1.8843,               0.004654,               0.004654,               0.004654
                     56,                0.69473,                0.53438,                 1.0706,                0.91285,                0.77237,                  0.995,                0.47847,                 1.7896,                 1.0181,                 1.8843,               0.004555,               0.004555,               0.004555
                     57,                0.88058,                0.79241,                 1.2192,                0.70957,                0.98548,                  0.995,                0.66323,                 1.2787,                 1.0191,                  1.445,               0.004456,               0.004456,               0.004456
                     58,                 1.2033,                 1.0756,                 1.4755,                0.70957,                0.98548,                  0.995,                0.66323,                 1.2787,                 1.0191,                  1.445,               0.004357,               0.004357,               0.004357
                     59,                0.44258,                0.46198,                0.87331,                0.82674,                 0.9929,                  0.995,                0.74848,                 1.0027,                0.77667,                  1.293,               0.004258,               0.004258,               0.004258
                     60,                0.91072,                0.68875,                 1.1502,                0.82674,                 0.9929,                  0.995,                0.74848,                 1.0027,                0.77667,                  1.293,               0.004159,               0.004159,               0.004159
